cpse,material_code,description
NTPC,NTPC-1100,HEX BOLT M16 100
BHEL,BHEL-1101,HEX BOLT M16 100 SS316
CPCL,CPCL-1102,HEX BLOT M16 100 SS316
SAIL,SAIL-1103,100 SS316 HEX BOLT M16
SAIL,SAIL-1104,HEX BOLT M16 100 CS
ONGC,ONGC-1105,HEX BLOT M16 100 CS
CPCL,CPCL-1106,HEX BOLT M16 100 CS
SAIL,SAIL-1107,HEX BLOT M16 100 MS
NTPC,NTPC-1108,HEX BOLT M16 100 MS
CPCL,CPCL-1109,HEX BLOT M16 100 MS
NTPC,NTPC-1110,100 HT HEX BOLT M16
ONGC,ONGC-1111,HEX BOLT M16 100
CPCL,CPCL-1112,HEX BOLT M16 100 HT
BHEL,BHEL-1113,HEX BOLT M20 40
SAIL,SAIL-1114,HEX BOLT M20 40 SS304
ONGC,ONGC-1115,HEX BOLT M20 40 SS316
BHEL,BHEL-1116,40 SS316 HEX BOLT M20
SAIL,SAIL-1117,40 CS HEX BOLT M20
CPCL,CPCL-1118,HEX BLOT M20 40 CS
ONGC,ONGC-1119,HEX BOLT M20 40
CPCL,CPCL-1120,HEX BOLT M20 40 MS
NTPC,NTPC-1121,HEX BOLT M20 40
SAIL,SAIL-1122,HEX BLOT M20 40 MS
SAIL,SAIL-1123,HEX BOLT M20 40 HT
BHEL,BHEL-1124,HEX BOLT M20 50 SS304
BHEL,BHEL-1125,HEX BOLT M20 50 SS316
CPCL,CPCL-1126,HEX BOLT M20 50
NTPC,NTPC-1127,HEX BOLT M20 50 SS316
NTPC,NTPC-1128,HEX BLOT M20 50 CS
SAIL,SAIL-1129,HEX BOLT M20 50 CS
BHEL,BHEL-1130,HEX BOLT M20 50 CS
SAIL,SAIL-1131,HEX BOLT M20 50 MS
CPCL,CPCL-1132,HEX BLOT M20 50 MS
BHEL,BHEL-1133,HEX BOLT M20 50 MS
CPCL,CPCL-1134,50 HT HEX BOLT M20
ONGC,ONGC-1135,HEX BLOT M20 50 HT
BHEL,BHEL-1136,HEX BOLT M20 50
SAIL,SAIL-1137,60 SS304 HEX BOLT M20
NTPC,NTPC-1138,HEX BOLT M20 60 SS304
CPCL,CPCL-1139,HEX BOLT M20 60 SS304
BHEL,BHEL-1140,HEX BOLT M20 60 SS316
NTPC,NTPC-1141,60 SS316 HEX BOLT M20
ONGC,ONGC-1142,60 SS316 HEX BOLT M20
BHEL,BHEL-1143,HEX BOLT M20 60 CS
CPCL,CPCL-1144,HEX BOLT M20 60 CS
SAIL,SAIL-1145,HEX BOLT M20 60 CS
CPCL,CPCL-1146,60 MS HEX BOLT M20
NTPC,NTPC-1147,HEX BLOT M20 60 MS
BHEL,BHEL-1148,HEX BOLT M20 60
NTPC,NTPC-1149,HEX BLOT M20 75 SS304
CPCL,CPCL-1150,HEX BOLT M20 75 SS316
ONGC,ONGC-1151,HEX BOLT M20 75 SS316
BHEL,BHEL-1152,HEX BOLT M20 75 SS316
BHEL,BHEL-1153,HEX BLOT M20 75 CS
SAIL,SAIL-1154,HEX BLOT M20 75 CS
ONGC,ONGC-1155,HEX BOLT M20 75 CS
CPCL,CPCL-1156,HEX BOLT M20 75
NTPC,NTPC-1157,HEX BLOT M20 75 MS
ONGC,ONGC-1158,HEX BOLT M20 75
CPCL,CPCL-1159,HEX BOLT M20 75 HT
NTPC,NTPC-1160,HEX BOLT M20 100 SS304
BHEL,BHEL-1161,HEX BOLT M20 100 SS316
NTPC,NTPC-1162,HEX BOLT M20 100 SS316
BHEL,BHEL-1163,HEX BLOT M20 100 CS
CPCL,CPCL-1164,100 CS HEX BOLT M20
BHEL,BHEL-1165,HEX BOLT M20 100 MS
CPCL,CPCL-1166,HEX BOLT M20 100 HT
SAIL,SAIL-1167,HEX BOLT M24 40 SS304
CPCL,CPCL-1168,HEX BOLT M24 40 SS316
BHEL,BHEL-1169,HEX BOLT M24 40 SS316
SAIL,SAIL-1170,HEX BOLT M24 40 SS316
ONGC,ONGC-1171,HEX BLOT M24 40 CS
CPCL,CPCL-1172,HEX BOLT M24 40
BHEL,BHEL-1173,HEX BOLT M24 40 MS
ONGC,ONGC-1174,HEX BLOT M24 40 MS
BHEL,BHEL-1175,HEX BLOT M24 40 HT
NTPC,NTPC-1176,HEX BOLT M24 40 HT
CPCL,CPCL-1177,40 HT HEX BOLT M24
SAIL,SAIL-1178,HEX BOLT M24 50 SS304
ONGC,ONGC-1179,HEX BLOT M24 50 SS304
NTPC,NTPC-1180,HEX BOLT M24 50
CPCL,CPCL-1181,HEX BOLT M24 50
NTPC,NTPC-1182,HEX BOLT M24 50
SAIL,SAIL-1183,50 CS HEX BOLT M24
CPCL,CPCL-1184,HEX BLOT M24 50 CS
SAIL,SAIL-1185,HEX BLOT M24 50 MS
BHEL,BHEL-1186,HEX BOLT M24 50 MS
SAIL,SAIL-1187,HEX BOLT M24 50
CPCL,CPCL-1188,50 HT HEX BOLT M24
SAIL,SAIL-1189,HEX BLOT M24 60 SS304
SAIL,SAIL-1190,HEX BLOT M24 60 SS316
ONGC,ONGC-1191,HEX BOLT M24 60 SS316
CPCL,CPCL-1192,60 CS HEX BOLT M24
SAIL,SAIL-1193,HEX BOLT M24 60
NTPC,NTPC-1194,HEX BOLT M24 60
SAIL,SAIL-1195,HEX BOLT M24 60 MS
CPCL,CPCL-1196,HEX BOLT M24 60 MS
ONGC,ONGC-1197,HEX BOLT M24 60 HT
CPCL,CPCL-1198,HEX BOLT M24 60 HT
SAIL,SAIL-1199,HEX BOLT M24 60
NTPC,NTPC-1200,HEX BOLT M24 75 SS304
CPCL,CPCL-1201,HEX BOLT M24 75
SAIL,SAIL-1202,75 SS304 HEX BOLT M24
CPCL,CPCL-1203,HEX BOLT M24 75 SS316
SAIL,SAIL-1204,HEX BOLT M24 75 CS
BHEL,BHEL-1205,75 CS HEX BOLT M24
ONGC,ONGC-1206,HEX BLOT M24 75 CS
SAIL,SAIL-1207,HEX BOLT M24 75
NTPC,NTPC-1208,HEX BOLT M24 75 MS
NTPC,NTPC-1209,HEX BOLT M24 75 HT
CPCL,CPCL-1210,HEX BLOT M24 75 HT
BHEL,BHEL-1211,HEX BOLT M24 75 HT
NTPC,NTPC-1212,HEX BOLT M24 100
ONGC,ONGC-1213,HEX BOLT M24 100 SS304
BHEL,BHEL-1214,HEX BLOT M24 100 SS304
SAIL,SAIL-1215,HEX BOLT M24 100
CPCL,CPCL-1216,HEX BOLT M24 100
ONGC,ONGC-1217,HEX BOLT M24 100
BHEL,BHEL-1218,HEX BOLT M24 100 MS
NTPC,NTPC-1219,HEX BOLT M24 100 MS
ONGC,ONGC-1220,HEX BLOT M24 100 HT
BHEL,BHEL-1221,HEX BLOT M24 100 HT
CPCL,CPCL-1222,STUD BLOT M16 100 B7
ONGC,ONGC-1223,STUD BOLT M16 100 B8
CPCL,CPCL-1224,STUD BOLT M16 100 B8
BHEL,BHEL-1225,STUD BOLT M16 100 B8M
SAIL,SAIL-1226,STUD BOLT M16 100
BHEL,BHEL-1227,100 L7 STUD BOLT M16
SAIL,SAIL-1228,100 L7 STUD BOLT M16
NTPC,NTPC-1229,STUD BOLT M16 100 L7
NTPC,NTPC-1230,STUD BOLT M16 150 B7
SAIL,SAIL-1231,STUD BLOT M16 150 B7
BHEL,BHEL-1232,STUD BOLT M16 150 B7
BHEL,BHEL-1233,STUD BLOT M16 150 B8
ONGC,ONGC-1234,STUD BOLT M16 150 B8
NTPC,NTPC-1235,STUD BLOT M16 150 B8
NTPC,NTPC-1236,STUD BOLT M16 150 B8M
BHEL,BHEL-1237,STUD BOLT M16 150 B8M
CPCL,CPCL-1238,STUD BLOT M16 150 B8M
SAIL,SAIL-1239,STUD BLOT M16 150 L7
ONGC,ONGC-1240,200 B7 STUD BOLT M16
CPCL,CPCL-1241,STUD BLOT M16 200 B8
NTPC,NTPC-1242,STUD BOLT M16 200
BHEL,BHEL-1243,STUD BLOT M16 200 B8M
ONGC,ONGC-1244,STUD BLOT M16 200 L7
CPCL,CPCL-1245,200 L7 STUD BOLT M16
NTPC,NTPC-1246,STUD BOLT M16 200
SAIL,SAIL-1247,100 B7 STUD BOLT M20
ONGC,ONGC-1248,STUD BLOT M20 100 B7
ONGC,ONGC-1249,100 B8 STUD BOLT M20
BHEL,BHEL-1250,STUD BLOT M20 100 B8
NTPC,NTPC-1251,STUD BOLT M20 100 B8
NTPC,NTPC-1252,STUD BLOT M20 100 B8M
BHEL,BHEL-1253,STUD BLOT M20 100 B8M
ONGC,ONGC-1254,STUD BOLT M20 100 B8M
SAIL,SAIL-1255,100 L7 STUD BOLT M20
NTPC,NTPC-1256,STUD BOLT M20 100 L7
CPCL,CPCL-1257,STUD BOLT M20 100
NTPC,NTPC-1258,150 B7 STUD BOLT M20
CPCL,CPCL-1259,150 B7 STUD BOLT M20
CPCL,CPCL-1260,STUD BLOT M20 150 B8
SAIL,SAIL-1261,STUD BOLT M20 150
NTPC,NTPC-1262,STUD BOLT M20 150 B8
NTPC,NTPC-1263,STUD BLOT M20 150 B8M
ONGC,ONGC-1264,STUD BOLT M20 150 B8M
CPCL,CPCL-1265,STUD BLOT M20 150 L7
SAIL,SAIL-1266,STUD BLOT M20 150 L7
NTPC,NTPC-1267,200 B7 STUD BOLT M20
SAIL,SAIL-1268,STUD BOLT M20 200
NTPC,NTPC-1269,200 B8M STUD BOLT M20
ONGC,ONGC-1270,200 B8M STUD BOLT M20
SAIL,SAIL-1271,STUD BOLT M20 200 B8M
SAIL,SAIL-1272,STUD BOLT M20 200 L7
CPCL,CPCL-1273,STUD BLOT M20 200 L7
NTPC,NTPC-1274,NUT HEX M12
ONGC,ONGC-1275,NUT HEX M12 SS316
BHEL,BHEL-1276,NUT HEX M12
NTPC,NTPC-1277,NUT HEX M12 SS316
SAIL,SAIL-1278,NUT HEX M12 CS
BHEL,BHEL-1279,NUT HEX M12 CS
BHEL,BHEL-1280,NUT HEX M12
BHEL,BHEL-1281,NUT HEX M12 GR8
ONGC,ONGC-1282,NUT HEX M12
CPCL,CPCL-1283,NUT HEX M12 GR8
SAIL,SAIL-1284,NUT HEX M16 SS304
BHEL,BHEL-1285,NUT HEX M16 SS304
CPCL,CPCL-1286,M16 SS304 NUT HEX
SAIL,SAIL-1287,NUT HEX M16 SS316
ONGC,ONGC-1288,NUT HEX M16 SS316
NTPC,NTPC-1289,NUT HEX M16 CS
SAIL,SAIL-1290,NUT HEX M16 2H
BHEL,BHEL-1291,M16 2H NUT HEX
BHEL,BHEL-1292,NUT HEX M16 GR8
CPCL,CPCL-1293,M20 SS304 NUT HEX
BHEL,BHEL-1294,M20 SS316 NUT HEX
CPCL,CPCL-1295,NUT HEX M20 SS316
NTPC,NTPC-1296,NUT HEX M20 SS316
BHEL,BHEL-1297,NUT HEX M20
SAIL,SAIL-1298,M20 CS NUT HEX
NTPC,NTPC-1299,NUT HEX M20
BHEL,BHEL-1300,NUT HEX M20 2H
NTPC,NTPC-1301,NUT HEX M20 2H
BHEL,BHEL-1302,NUT HEX M20 GR8
NTPC,NTPC-1303,NUT HEX M20 GR8
NTPC,NTPC-1304,M24 SS304 NUT HEX
SAIL,SAIL-1305,M24 SS304 NUT HEX
CPCL,CPCL-1306,M24 SS304 NUT HEX
ONGC,ONGC-1307,NUT HEX M24 SS316
CPCL,CPCL-1308,NUT HEX M24 CS
ONGC,ONGC-1309,M24 2H NUT HEX
SAIL,SAIL-1310,NUT HEX M24 2H
SAIL,SAIL-1311,NUT HEX M24 GR8
SAIL,SAIL-1312,WASHER FLAT M12 SS304
NTPC,NTPC-1313,WASHER FLAT M12 SS304
BHEL,BHEL-1314,WASHER FLAT M12 SS304
BHEL,BHEL-1315,WASHER FLAT M12 MS
ONGC,ONGC-1316,M12 MS WASHER FLAT
CPCL,CPCL-1317,WASHER FLAT M12
CPCL,CPCL-1318,WASHER FLAT M12 SPRING STEEL
BHEL,BHEL-1319,WASHER FLAT M12 SPRING STEEL
CPCL,CPCL-1320,WASHER FLAT M16 SS304
ONGC,ONGC-1321,WASHER FLAT M16 SS304
CPCL,CPCL-1322,M16 MS WASHER FLAT
ONGC,ONGC-1323,WASHER FLAT M16 MS
CPCL,CPCL-1324,WASHER FLAT M16 SPRING STEEL
SAIL,SAIL-1325,WASHER FLAT M16 SPRING STEEL
BHEL,BHEL-1326,WASHER FLAT M16 SPRING
SAIL,SAIL-1327,WASHER FLAT M20
CPCL,CPCL-1328,WASHER FLAT M20
NTPC,NTPC-1329,WASHER FLAT M20 MS
BHEL,BHEL-1330,WASHER FLAT M20
CPCL,CPCL-1331,M20 MS WASHER FLAT
NTPC,NTPC-1332,WASHER FLAT M20 SPRING
CPCL,CPCL-1333,WASHER FLAT M24 SS304
NTPC,NTPC-1334,WASHER FLAT M24 SS304
ONGC,ONGC-1335,WASHER FLAT M24 MS
NTPC,NTPC-1336,WASHER FLAT M24 SPRING STEEL
BHEL,BHEL-1337,PIPE SMLS 2 INCH SCH40 CS
NTPC,NTPC-1338,PIPE SMLS 2 INCH SCH40 CS
SAIL,SAIL-1339,PIPE SMLS 2 INCH SCH40 CS
BHEL,BHEL-1340,PIPE SMLS 2 INCH SCH40 SS304
CPCL,CPCL-1341,PIPE SMLS 2 INCH SCH40
NTPC,NTPC-1342,PIPE SMLS 2 INCH SCH40
ONGC,ONGC-1343,PIPE SMLS 2 INCH SCH40 SS316
CPCL,CPCL-1344,PIPE SMLS 2 INCH SCH40 ALLOY STEEL
CPCL,CPCL-1345,PIPE SMLS 2 INCH SCH80 CS
ONGC,ONGC-1346,PIPE SMLS 2 INCH SCH80
CPCL,CPCL-1347,"PIPE SMLS 2 "" SCH80 SS304"
NTPC,NTPC-1348,PIPE SMLS 2 INCH SCH80 SS304
ONGC,ONGC-1349,SCH80 SS304 PIPE SMLS 2 INCH
CPCL,CPCL-1350,SCH80 SS316 PIPE SMLS 2 INCH
NTPC,NTPC-1351,SCH80 SS316 PIPE SMLS 2 INCH
NTPC,NTPC-1352,"PIPE SMLS 2 "" SCH80 ALLOY STEEL"
NTPC,NTPC-1353,PIPE SMLS 2 INCH SCH160 CS
CPCL,CPCL-1354,SCH160 CS PIPE SMLS 2 INCH
BHEL,BHEL-1355,PIPE SMLS 2 INCH SCH160
SAIL,SAIL-1356,"PIPE SMLS 2 "" SCH160 SS304"
CPCL,CPCL-1357,PIPE SMLS 2 INCH SCH160
BHEL,BHEL-1358,ALLOY STEEL PIPE SMLS 2 INCH SCH160
CPCL,CPCL-1359,PIPE SMLS 2 INCH SCH160 ALLOY
NTPC,NTPC-1360,PIPE SMLS 2 INCH SCH160 ALLOY STEEL
SAIL,SAIL-1361,PIPE SMLS 4 INCH SCH40
BHEL,BHEL-1362,"PIPE SMLS 4 "" SCH40 SS304"
SAIL,SAIL-1363,PIPE SMLS 4 INCH SCH40
SAIL,SAIL-1364,PIPE SMLS 4 INCH SCH40 SS316
CPCL,CPCL-1365,PIPE SMLS 4 INCH SCH40 SS316
NTPC,NTPC-1366,PIPE SMLS 4 INCH SCH40
CPCL,CPCL-1367,"PIPE SMLS 4 "" SCH40 ALLOY STEEL"
NTPC,NTPC-1368,PIPE SMLS 4 INCH SCH40 ALLOY
BHEL,BHEL-1369,PIPE SMLS 4 INCH SCH80 CS
CPCL,CPCL-1370,PIPE SMLS 4 INCH SCH80 SS304
NTPC,NTPC-1371,PIPE SMLS 4 INCH SCH80
SAIL,SAIL-1372,"PIPE SMLS 4 "" SCH80 SS304"
SAIL,SAIL-1373,SCH80 SS316 PIPE SMLS 4 INCH
NTPC,NTPC-1374,PIPE SMLS 4 INCH SCH80 ALLOY STEEL
CPCL,CPCL-1375,PIPE SMLS 4 INCH SCH160
CPCL,CPCL-1376,SCH160 SS304 PIPE SMLS 4 INCH
SAIL,SAIL-1377,"PIPE SMLS 4 "" SCH160 SS304"
NTPC,NTPC-1378,PIPE SMLS 4 INCH SCH160 SS304
NTPC,NTPC-1379,PIPE SMLS 4 INCH SCH160
BHEL,BHEL-1380,PIPE SMLS 4 INCH SCH160 SS316
ONGC,ONGC-1381,PIPE SMLS 4 INCH SCH160 ALLOY STEEL
NTPC,NTPC-1382,PIPE SMLS 6 INCH SCH40
SAIL,SAIL-1383,SCH40 CS PIPE SMLS 6 INCH
NTPC,NTPC-1384,"PIPE SMLS 6 "" SCH40 SS304"
ONGC,ONGC-1385,PIPE SMLS 6 INCH SCH40
CPCL,CPCL-1386,PIPE SMLS 6 INCH SCH40
BHEL,BHEL-1387,PIPE SMLS 6 INCH SCH40 SS316
ONGC,ONGC-1388,"PIPE SMLS 6 "" SCH40 ALLOY STEEL"
NTPC,NTPC-1389,PIPE SMLS 6 INCH SCH40 ALLOY STEEL
SAIL,SAIL-1390,PIPE SMLS 6 INCH SCH80 CS
ONGC,ONGC-1391,"PIPE SMLS 6 "" SCH80 SS304"
BHEL,BHEL-1392,PIPE SMLS 6 INCH SCH80 SS304
NTPC,NTPC-1393,PIPE SMLS 6 INCH SCH80
SAIL,SAIL-1394,"PIPE SMLS 6 "" SCH80 SS316"
ONGC,ONGC-1395,PIPE SMLS 6 INCH SCH80 SS316
CPCL,CPCL-1396,"PIPE SMLS 6 "" SCH80 ALLOY STEEL"
NTPC,NTPC-1397,"PIPE SMLS 6 "" SCH160 CS"
SAIL,SAIL-1398,PIPE SMLS 6 INCH SCH160 CS
CPCL,CPCL-1399,PIPE SMLS 6 INCH SCH160 CS
ONGC,ONGC-1400,SCH160 SS304 PIPE SMLS 6 INCH
BHEL,BHEL-1401,PIPE SMLS 6 INCH SCH160
BHEL,BHEL-1402,PIPE SMLS 6 INCH SCH160 SS316
CPCL,CPCL-1403,SCH160 SS316 PIPE SMLS 6 INCH
ONGC,ONGC-1404,"PIPE SMLS 6 "" SCH160 SS316"
CPCL,CPCL-1405,PIPE SMLS 6 INCH SCH160 ALLOY STEEL
ONGC,ONGC-1406,PIPE SMLS 6 INCH SCH160 ALLOY STEEL
BHEL,BHEL-1407,PIPE SMLS 6 INCH SCH160 ALLOY STEEL
SAIL,SAIL-1408,SCH40 CS PIPE SMLS 8 INCH
CPCL,CPCL-1409,PIPE SMLS 8 INCH SCH40 CS
ONGC,ONGC-1410,"PIPE SMLS 8 "" SCH40 SS304"
BHEL,BHEL-1411,PIPE SMLS 8 INCH SCH40 SS304
NTPC,NTPC-1412,PIPE SMLS 8 INCH SCH40
SAIL,SAIL-1413,PIPE SMLS 8 INCH SCH40
ONGC,ONGC-1414,ALLOY STEEL PIPE SMLS 8 INCH SCH40
SAIL,SAIL-1415,SCH80 CS PIPE SMLS 8 INCH
CPCL,CPCL-1416,PIPE SMLS 8 INCH SCH80 SS304
BHEL,BHEL-1417,PIPE SMLS 8 INCH SCH80 SS304
NTPC,NTPC-1418,PIPE SMLS 8 INCH SCH80
SAIL,SAIL-1419,PIPE SMLS 8 INCH SCH80
ONGC,ONGC-1420,PIPE SMLS 8 INCH SCH80
ONGC,ONGC-1421,PIPE SMLS 8 INCH SCH80 ALLOY STEEL
SAIL,SAIL-1422,PIPE SMLS 8 INCH SCH80 ALLOY STEEL
NTPC,NTPC-1423,PIPE SMLS 8 INCH SCH80 ALLOY
BHEL,BHEL-1424,PIPE SMLS 8 INCH SCH160
ONGC,ONGC-1425,PIPE SMLS 8 INCH SCH160 CS
NTPC,NTPC-1426,PIPE SMLS 8 INCH SCH160 CS
BHEL,BHEL-1427,SCH160 SS304 PIPE SMLS 8 INCH
SAIL,SAIL-1428,PIPE SMLS 8 INCH SCH160 SS316
ONGC,ONGC-1429,SCH160 SS316 PIPE SMLS 8 INCH
BHEL,BHEL-1430,PIPE SMLS 8 INCH SCH160 SS316
SAIL,SAIL-1431,ALLOY STEEL PIPE SMLS 8 INCH SCH160
ONGC,ONGC-1432,"PIPE SMLS 8 "" SCH160 ALLOY STEEL"
NTPC,NTPC-1433,"ELBOW 90 DEG 2 "" SCH40 CS"
ONGC,ONGC-1434,ELBOW 90 DEG 2 INCH SCH40
CPCL,CPCL-1435,ELBOW 90 DEG 2 INCH SCH40 CS
NTPC,NTPC-1436,ELBOW 90 DEG 2 INCH SCH40
CPCL,CPCL-1437,SCH40 SS304 ELBOW 90 DEG 2 INCH
CPCL,CPCL-1438,SCH80 CS ELBOW 90 DEG 2 INCH
BHEL,BHEL-1439,ELBOW 90 DEG 2 INCH SCH80
ONGC,ONGC-1440,ELBOW 90 DEG 2 INCH SCH80
BHEL,BHEL-1441,ELBOW 90 DEG 2 INCH SCH80 SS304
CPCL,CPCL-1442,ELBOW 90 DEG 2 INCH SCH80 SS304
ONGC,ONGC-1443,SCH80 SS304 ELBOW 90 DEG 2 INCH
NTPC,NTPC-1444,ELBOW 90 DEG 4 INCH SCH40
BHEL,BHEL-1445,ELBOW 90 DEG 4 INCH SCH40 SS304
CPCL,CPCL-1446,"ELBOW 90 DEG 4 "" SCH40 SS304"
NTPC,NTPC-1447,ELBOW 90 DEG 4 INCH SCH40 SS304
SAIL,SAIL-1448,ELBOW 90 DEG 4 INCH SCH80
BHEL,BHEL-1449,ELBOW 90 DEG 4 INCH SCH80 SS304
ONGC,ONGC-1450,VALVE GATE 2 INCH 150#
ONGC,ONGC-1451,"VALVE GATE 2 "" 150# SS316"
SAIL,SAIL-1452,VALVE GATE 2 INCH 150# SS316
ONGC,ONGC-1453,150# WCB VALVE GATE 2 INCH
SAIL,SAIL-1454,150# WCB VALVE GATE 2 INCH
CPCL,CPCL-1455,150# WCB VALVE GATE 2 INCH
ONGC,ONGC-1456,VALVE GATE 2 INCH 300#
NTPC,NTPC-1457,"VALVE GATE 2 "" 300# CS"
SAIL,SAIL-1458,300# SS316 VALVE GATE 2 INCH
